stem,company,company_present,company_len,date,date_present,date_len,address,address_present,address_len,total,total_present,total_len,total_format
X00016469612,BOOK TA .K (TAMAN DAYA) SDN BHD,True,31,25/12/2018,True,10,"NO.53 55,57 & 59, JALAN SAGU 18, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR.",True,70,9.00,True,4,NNN.NN       e.g. 9.00
X00016469619,INDAH GIFT & HOME DECO,True,22,19/10/2018,True,10,"27, JALAN DEDAP 13, TAMAN JOHOR JAYA, 81100 JOHOR BAHRU, JOHOR.",True,63,60.30,True,5,NNN.NN       e.g. 9.00
X00016469620,MR D.I.Y. (JOHOR) SDN BHD,True,25,12-01-19,True,8,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (MR DIY TESCO TERBAU)",True,118,33.90,True,5,NNN.NN       e.g. 9.00
X00016469622,YONGFATT ENTERPRISE,True,19,25/12/2018,True,10,NO 122.124. JALAN DEDAP 13 81100 JOHOR BAHRU,True,44,80.90,True,5,NNN.NN       e.g. 9.00
X00016469623,MR D.I.Y. (M) SDN BHD,True,21,18-11-18,True,8,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (TESCO PUTRA NILAI)",True,116,30.90,True,5,NNN.NN       e.g. 9.00
X00016469669,ABC HO TRADING,True,14,09/01/2019,True,10,"NO.2&4, JALAN HARMONI 3/2, TAMAN DESA HARMONI. 81100 JOHOR BAHRU JOHOR",True,70,31.00,True,5,NNN.NN       e.g. 9.00
X00016469672,SOON HUAT MACHINERY ENTERPRISE,True,30,11/01/2019,True,10,"NO.53 JALAN PUTRA 1, TAMAN SRI PUTRA, 81200 JOHOR BAHRU JOHOR",True,61,327.00,True,6,NNN.NN       e.g. 9.00
X00016469676,S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,True,38,23-01-2019,True,10,"NO. 343, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERANG, JOHOR.",True,60,20.00,True,5,NNN.NN       e.g. 9.00
X51005200938,PERNIAGAAN ZHENG HUI,True,20,12/02/2018,True,10,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81760 JOHOR BAHRU,True,64,112.45,True,6,NNN.NN       e.g. 9.00
X51005230617,GERBANG ALAF RESTAURANTS SDN BHD,True,32,18/01/2018,True,10,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR",True,88,26.60,True,5,NNN.NN       e.g. 9.00
X51005255805,SAM SAM TRADING CO,True,18,29-12-2017,True,10,"67,JLN MEWAH 25/63 TMN SRI MUDA, 40400 SHAH ALAM.",True,49,14.10,True,5,NNN.NN       e.g. 9.00
X51005268200,AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD,True,49,15/06/2017,True,10,"NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,",True,80,15.00,True,5,NNN.NN       e.g. 9.00
