stem,width,height,aspect,megapixels,brightness,contrast,flag_dark,flag_low_cont,flag_tiny,any_flag
X00016469612,463,1013,2.19,0.469,244.8,35.6,False,True,False,True
X00016469619,439,1004,2.29,0.441,248.2,24.1,False,True,False,True
X00016469620,459,949,2.07,0.436,241.2,41.3,False,False,False,False
X00016469622,461,933,2.02,0.43,245.9,33.5,False,True,False,True
X00016469623,463,1026,2.22,0.475,246.0,24.8,False,True,False,True
X00016469669,463,605,1.31,0.28,240.6,41.5,False,False,False,False
X00016469672,457,1170,2.56,0.535,240.1,44.4,False,False,False,False
X00016469676,463,797,1.72,0.369,243.8,37.3,False,True,False,True
X51005200938,992,1403,1.41,1.392,250.5,33.6,False,True,False,True
X51005230617,604,1716,2.84,1.036,239.6,44.0,False,False,False,False
X51005255805,873,1656,1.9,1.446,180.8,48.1,False,False,False,False
X51005268200,752,2214,2.94,1.665,190.8,47.3,False,False,False,False
X51005268262,747,1412,1.89,1.055,197.2,45.2,False,False,False,False
X51005268400,807,1390,1.72,1.122,180.3,48.3,False,False,False,False
X51005268472,780,2044,2.62,1.594,183.0,45.0,False,False,False,False
X51005301659,747,1412,1.89,1.055,197.2,45.2,False,False,False,False
X51005301661,818,1924,2.35,1.574,191.9,43.7,False,False,False,False
X51005301667,835,2333,2.79,1.948,186.2,42.1,False,False,False,False
X51005303661,818,1924,2.35,1.574,191.9,43.7,False,False,False,False
X51005306399,447,915,2.05,0.409,246.3,28.4,False,True,False,True
X51005337872,623,1255,2.01,0.782,246.8,29.9,False,True,False,True
X51005361883,993,2481,2.5,2.464,236.5,50.4,False,False,False,False
X51005361895,953,1629,1.71,1.552,238.6,49.5,False,False,False,False
X51005361897,2481,3508,1.41,8.703,249.7,28.2,False,True,False,True
X51005361898,2481,3508,1.41,8.703,248.9,29.9,False,True,False,True
X51005361900,2481,3508,1.41,8.703,249.8,28.5,False,True,False,True
X51005361907,1654,2339,1.41,3.869,247.8,39.3,False,True,False,True
X51005361946,1654,2339,1.41,3.869,246.2,41.0,False,False,False,False
X51005361950,949,1349,1.42,1.28,238.8,33.6,False,True,False,True
X51005365179,748,1338,1.79,1.001,241.9,51.5,False,False,False,False
X51005433492,1080,1527,1.41,1.649,252.9,20.7,False,True,False,True
X51005433494,1080,1527,1.41,1.649,251.7,25.6,False,True,False,True
X51005433514,1080,1527,1.41,1.649,252.9,20.7,False,True,False,True
X51005433522,1080,1527,1.41,1.649,252.8,21.3,False,True,False,True
X51005433533,1080,1527,1.41,1.649,249.1,34.8,False,True,False,True
X51005433538,1080,1519,1.41,1.641,252.8,20.9,False,True,False,True
X51005433541,1080,1527,1.41,1.649,253.0,20.5,False,True,False,True
X51005433552,1080,1527,1.41,1.649,252.7,21.5,False,True,False,True
X51005433553,1080,1527,1.41,1.649,252.3,23.4,False,True,False,True
X51005441398,591,1711,2.9,1.011,251.0,15.1,False,True,False,True
X51005441401,619,1131,1.83,0.7,248.7,24.8,False,True,False,True
X51005441402,619,1203,1.94,0.745,247.5,28.8,False,True,False,True
X51005441407,627,1235,1.97,0.774,247.3,28.0,False,True,False,True
X51005441408,627,1535,2.45,0.962,249.1,24.2,False,True,False,True
X51005442327,1080,1527,1.41,1.649,252.8,21.5,False,True,False,True
X51005442333,1080,1528,1.41,1.65,252.6,22.0,False,True,False,True
X51005442338,1080,1527,1.41,1.649,252.3,23.0,False,True,False,True
X51005442341,1080,1527,1.41,1.649,253.8,15.7,False,True,False,True
X51005442344,1080,1527,1.41,1.649,251.8,25.5,False,True,False,True
X51005442346,1080,1527,1.41,1.649,251.2,27.9,False,True,False,True
X51005442361,1080,1528,1.41,1.65,251.2,26.7,False,True,False,True
X51005442376,1080,1528,1.41,1.65,252.8,20.9,False,True,False,True
X51005442378,1080,1528,1.41,1.65,244.9,38.6,False,True,False,True
X51005442379,1080,1528,1.41,1.65,252.7,21.2,False,True,False,True
X51005442383,1080,1528,1.41,1.65,250.1,31.8,False,True,False,True
X51005442384,1080,1528,1.41,1.65,252.8,20.5,False,True,False,True
X51005442386,1080,1528,1.41,1.65,252.8,20.8,False,True,False,True
X51005442392,1080,1527,1.41,1.649,253.1,19.7,False,True,False,True
X51005442394,1080,1527,1.41,1.649,253.0,20.6,False,True,False,True
X51005442397,1080,1527,1.41,1.649,253.5,17.3,False,True,False,True
X51005444033,789,1772,2.25,1.398,236.0,48.6,False,False,False,False
X51005444037,792,2748,3.47,2.176,244.2,35.5,False,True,False,True
X51005444045,753,1305,1.73,0.983,243.7,28.1,False,True,False,True
X51005447832,664,1664,2.51,1.105,242.7,35.1,False,True,False,True
X51005447833,668,1598,2.39,1.067,240.8,38.1,False,True,False,True
X51005447839,936,1766,1.89,1.653,241.4,39.3,False,True,False,True
X51005447840,932,2160,2.32,2.013,237.5,43.8,False,False,False,False
X51005447848,932,1987,2.13,1.852,245.6,31.0,False,True,False,True
X51005447850,932,1771,1.9,1.651,238.1,43.1,False,False,False,False
X51005447852,888,1571,1.77,1.395,227.9,40.7,False,False,False,False
X51005447853,888,1718,1.93,1.526,228.6,42.7,False,False,False,False
X51005447860,928,2130,2.3,1.977,238.6,42.9,False,False,False,False
X51005447861,932,2683,2.88,2.501,233.3,46.1,False,False,False,False
X51005453729,615,931,1.51,0.573,246.8,29.2,False,True,False,True
X51005453801,583,1303,2.23,0.76,251.4,14.5,False,True,False,True
X51005453802,615,931,1.51,0.573,244.5,33.6,False,True,False,True
X51005453804,619,875,1.41,0.542,246.4,30.5,False,True,False,True
X51005568827,944,2439,2.58,2.302,235.8,46.4,False,False,False,False
X51005568829,936,1841,1.97,1.723,228.0,44.5,False,False,False,False
X51005568880,932,2220,2.38,2.069,237.2,34.4,False,True,False,True
X51005568881,884,1678,1.9,1.483,222.6,34.6,False,True,False,True
X51005568884,936,1676,1.79,1.569,238.4,40.9,False,False,False,False
X51005568891,884,2249,2.54,1.988,231.8,50.1,False,False,False,False
X51005568898,936,2785,2.98,2.607,224.8,35.0,False,True,False,True
X51005568899,932,1644,1.76,1.532,241.7,34.0,False,True,False,True
