text,x_min,y_min,x_max,y_max,width,height,label,stem,x_norm,y_norm,x_center_norm,y_center_norm,width_norm,height_norm
TAN WOON YANN,72,25,326,64,254,39,O,X00016469612,0.1625,0.0256,0.4492,0.0455,0.5734,0.0399
BOOK TA .K(TAMAN DAYA) SDN BND,50,82,440,121,390,39,O,X00016469612,0.1129,0.0839,0.553,0.1039,0.8804,0.0399
789417-W,205,121,285,139,80,18,O,X00016469612,0.4628,0.1238,0.553,0.1331,0.1806,0.0184
"NO.53 55,57 & 59, JALAN SAGU 18,",110,144,383,163,273,19,B-ADDRESS,X00016469612,0.2483,0.1474,0.5564,0.1571,0.6163,0.0194
"TAMAN DAYA,",192,169,299,187,107,18,I-ADDRESS,X00016469612,0.4334,0.173,0.5542,0.1822,0.2415,0.0184
"81100 JOHOR BAHRU,",162,193,334,211,172,18,I-ADDRESS,X00016469612,0.3657,0.1975,0.5598,0.2068,0.3883,0.0184
JOHOR.,217,216,275,233,58,17,I-ADDRESS,X00016469612,0.4898,0.2211,0.5553,0.2298,0.1309,0.0174
DOCUMENT NO : TD01167104,50,342,279,359,229,17,O,X00016469612,0.1129,0.3501,0.3713,0.3588,0.5169,0.0174
DATE:,50,372,96,390,46,18,O,X00016469612,0.1129,0.3808,0.1648,0.39,0.1038,0.0184
25/12/2018 8:13:39 PM,165,372,342,389,177,17,B-DATE,X00016469612,0.3725,0.3808,0.5722,0.3895,0.3995,0.0174
CASHIER:,48,396,117,415,69,19,O,X00016469612,0.1084,0.4053,0.1862,0.415,0.1558,0.0194
MANIS,164,397,215,413,51,16,O,X00016469612,0.3702,0.4063,0.4278,0.4145,0.1151,0.0164
MEMBER:,49,423,122,440,73,17,O,X00016469612,0.1106,0.433,0.193,0.4417,0.1648,0.0174
CASH BILL,191,460,298,476,107,16,O,X00016469612,0.4312,0.4708,0.5519,0.479,0.2415,0.0164
CODE/DESC,30,508,121,523,91,15,O,X00016469612,0.0677,0.52,0.1704,0.5276,0.2054,0.0154
PRICE,200,507,247,521,47,14,O,X00016469612,0.4515,0.5189,0.5045,0.5261,0.1061,0.0143
DISC,276,506,306,522,30,16,O,X00016469612,0.623,0.5179,0.6569,0.5261,0.0677,0.0164
AMOUNT,374,507,441,521,67,14,O,X00016469612,0.8442,0.5189,0.9199,0.5261,0.1512,0.0143
QTY,69,531,102,550,33,19,O,X00016469612,0.1558,0.5435,0.193,0.5532,0.0745,0.0194
RM,221,531,247,545,26,14,O,X00016469612,0.4989,0.5435,0.5282,0.5507,0.0587,0.0143
RM,420,529,443,547,23,18,O,X00016469612,0.9481,0.5415,0.974,0.5507,0.0519,0.0184
9556939040116,27,570,137,583,110,13,O,X00016469612,0.0609,0.5834,0.1851,0.5901,0.2483,0.0133
KF MODELLING CLAY KIDDY FISH,159,570,396,584,237,14,O,X00016469612,0.3589,0.5834,0.6264,0.5906,0.535,0.0143
1 PC,77,598,113,613,36,15,O,X00016469612,0.1738,0.6121,0.2144,0.6198,0.0813,0.0154
*,138,597,148,607,10,10,O,X00016469612,0.3115,0.6111,0.3228,0.6162,0.0226,0.0102
9.000,202,597,245,612,43,15,O,X00016469612,0.456,0.6111,0.5045,0.6187,0.0971,0.0154
0.00,275,598,309,612,34,14,O,X00016469612,0.6208,0.6121,0.6591,0.6192,0.0767,0.0143
9.00,411,596,443,613,32,17,O,X00016469612,0.9278,0.61,0.9639,0.6187,0.0722,0.0174
TOTAL:,245,639,293,658,48,19,O,X00016469612,0.553,0.654,0.6072,0.6638,0.1084,0.0194
ROUR DING ADJUSTMENT:,118,671,291,687,173,16,O,X00016469612,0.2664,0.6868,0.4616,0.695,0.3905,0.0164
0.00,408,669,443,684,35,15,O,X00016469612,0.921,0.6847,0.9605,0.6924,0.079,0.0154
ROUND D TOTAL (RM):,86,704,292,723,206,19,O,X00016469612,0.1941,0.7206,0.4266,0.7303,0.465,0.0194
9.00,401,703,443,719,42,16,O,X00016469612,0.9052,0.7195,0.9526,0.7277,0.0948,0.0164
CASH,205,744,243,765,38,21,O,X00016469612,0.4628,0.7615,0.5056,0.7723,0.0858,0.0215
10.00,402,748,441,763,39,15,O,X00016469612,0.9074,0.7656,0.9515,0.7733,0.088,0.0154
CHANGE,205,770,271,788,66,18,O,X00016469612,0.4628,0.7881,0.5372,0.7973,0.149,0.0184
1.00,412,772,443,786,31,14,O,X00016469612,0.93,0.7902,0.965,0.7973,0.07,0.0143
GOODS SOLD ARE NOT RETURNABLE OR,97,845,401,860,304,15,O,X00016469612,0.219,0.8649,0.5621,0.8726,0.6862,0.0154
EXCHANGEABLE,190,864,309,880,119,16,O,X00016469612,0.4289,0.8843,0.5632,0.8925,0.2686,0.0164
***,142,883,353,901,211,18,O,X00016469612,0.3205,0.9038,0.5587,0.913,0.4763,0.0184
***,137,903,351,920,214,17,O,X00016469612,0.3093,0.9243,0.5508,0.933,0.4831,0.0174
THANK YOU,202,942,292,959,90,17,O,X00016469612,0.456,0.9642,0.5576,0.9729,0.2032,0.0174
PLEASE COME AGAIN !,163,962,330,977,167,15,O,X00016469612,0.3679,0.9846,0.5564,0.9923,0.377,0.0154
9.00,412,639,442,654,30,15,B-TOTAL,X00016469612,0.93,0.654,0.9639,0.6617,0.0677,0.0154
TAN WOON YANN,76,50,323,84,247,34,O,X00016469619,0.19,0.0522,0.4988,0.0699,0.6175,0.0355
INDAH GIFT & HOME DECO,110,165,315,188,205,23,B-COMPANY,X00016469619,0.275,0.1722,0.5312,0.1842,0.5125,0.024
"27,JALAN DEDAP 13,",126,191,297,214,171,23,O,X00016469619,0.315,0.1994,0.5288,0.2114,0.4275,0.024
"TAMAN JOHOR JAYA,",129,218,287,236,158,18,B-ADDRESS,X00016469619,0.3225,0.2276,0.52,0.237,0.395,0.0188
"81100 JOHOR BAHRU,JOHOR.",100,243,324,261,224,18,O,X00016469619,0.25,0.2537,0.53,0.263,0.56,0.0188
TEL:07-3507405,70,268,201,285,131,17,O,X00016469619,0.175,0.2797,0.3387,0.2886,0.3275,0.0177
FAX:07-3558160,221,267,356,286,135,19,O,X00016469619,0.5525,0.2787,0.7212,0.2886,0.3375,0.0198
RECEIPT,177,317,241,336,64,19,O,X00016469619,0.4425,0.3309,0.5225,0.3408,0.16,0.0198
19/10/2018 20:49:59 #01,16,364,257,392,241,28,B-DATE,X00016469619,0.04,0.38,0.3412,0.3946,0.6025,0.0292
CASHIER: CN,25,395,132,412,107,17,O,X00016469619,0.0625,0.4123,0.1963,0.4212,0.2675,0.0177
LOCATION/SP: 05 /0531,181,393,390,410,209,17,O,X00016469619,0.4525,0.4102,0.7137,0.4191,0.5225,0.0177
MB: MO26588,26,445,129,463,103,18,O,X00016469619,0.065,0.4645,0.1938,0.4739,0.2575,0.0188
ROOM NO: 01,25,468,127,489,102,21,O,X00016469619,0.0625,0.4885,0.19,0.4995,0.255,0.0219
050100035279,286,466,400,488,114,22,O,X00016469619,0.715,0.4864,0.8575,0.4979,0.285,0.023
DESC/ITEM,24,518,114,538,90,20,O,X00016469619,0.06,0.5407,0.1725,0.5511,0.225,0.0209
QTY,182,519,213,538,31,19,O,X00016469619,0.455,0.5418,0.4938,0.5517,0.0775,0.0198
PRICE,239,518,288,534,49,16,O,X00016469619,0.5975,0.5407,0.6587,0.5491,0.1225,0.0167
AMT(RM),308,517,371,534,63,17,O,X00016469619,0.77,0.5397,0.8488,0.5485,0.1575,0.0177
ST-PRIVILEGE CARD/GD INDAH,25,543,273,559,248,16,O,X00016469619,0.0625,0.5668,0.3725,0.5752,0.62,0.0167
88888,26,570,73,586,47,16,O,X00016469619,0.065,0.595,0.1237,0.6033,0.1175,0.0167
1,201,565,218,588,17,23,B-ADDRESS,X00016469619,0.5025,0.5898,0.5238,0.6018,0.0425,0.024
10.00,238,566,294,589,56,23,O,X00016469619,0.595,0.5908,0.665,0.6028,0.14,0.024
10.00,319,561,382,586,63,25,O,X00016469619,0.7975,0.5856,0.8762,0.5986,0.1575,0.0261
GF-TABLE LAMP/STITCH <I>,22,591,257,613,235,22,O,X00016469619,0.055,0.6169,0.3488,0.6284,0.5875,0.023
62483,24,616,78,636,54,20,O,X00016469619,0.06,0.643,0.1275,0.6534,0.135,0.0209
1,196,615,222,636,26,21,B-ADDRESS,X00016469619,0.49,0.642,0.5225,0.6529,0.065,0.0219
55.90,233,610,292,634,59,24,O,X00016469619,0.5825,0.6367,0.6562,0.6493,0.1475,0.0251
55.90,312,612,376,635,64,23,O,X00016469619,0.78,0.6388,0.86,0.6508,0.16,0.024
@DISC,147,641,194,660,47,19,O,X00016469619,0.3675,0.6691,0.4263,0.679,0.1175,0.0198
10.00%,216,642,270,661,54,19,O,X00016469619,0.54,0.6701,0.6075,0.6801,0.135,0.0198
-5.59,318,641,378,662,60,21,O,X00016469619,0.795,0.6691,0.87,0.6801,0.15,0.0219
#TOTAL QTY,25,668,122,691,97,23,O,X00016469619,0.0625,0.6973,0.1837,0.7093,0.2425,0.024
2,157,663,185,687,28,24,B-ADDRESS,X00016469619,0.3925,0.6921,0.4275,0.7046,0.07,0.0251
TOTAL AMT................. RM,26,693,280,712,254,19,O,X00016469619,0.065,0.7234,0.3825,0.7333,0.635,0.0198
60.31,325,691,375,711,50,20,O,X00016469619,0.8125,0.7213,0.875,0.7317,0.125,0.0209
ROUNDING ADJ............,27,719,252,737,225,18,O,X00016469619,0.0675,0.7505,0.3488,0.7599,0.5625,0.0188
-0.01,319,714,379,736,60,22,O,X00016469619,0.7975,0.7453,0.8725,0.7568,0.15,0.023
RM,261,768,280,787,19,19,O,X00016469619,0.6525,0.8017,0.6763,0.8116,0.0475,0.0198
60.30,325,767,374,786,49,19,B-TOTAL,X00016469619,0.8125,0.8006,0.8738,0.8105,0.1225,0.0198
CASH.................... RM,26,793,280,809,254,16,O,X00016469619,0.065,0.8278,0.3825,0.8361,0.635,0.0167
70.30,326,792,373,809,47,17,O,X00016469619,0.815,0.8267,0.8738,0.8356,0.1175,0.0177
CHANGE.................. RM,25,815,280,835,255,20,O,X00016469619,0.0625,0.8507,0.3812,0.8612,0.6375,0.0209
10.00,328,816,375,832,47,16,O,X00016469619,0.82,0.8518,0.8788,0.8601,0.1175,0.0167
THANK YOU ! PLEASE COME AGAIN !,63,889,355,909,292,20,O,X00016469619,0.1575,0.928,0.5225,0.9384,0.73,0.0209
GOODS SOLD ARE NOT RETURNABLE,74,916,348,932,274,16,O,X00016469619,0.185,0.9562,0.5275,0.9645,0.685,0.0167
THANK YOU ! FLEASE COME AOSIN !,60,887,359,911,299,24,O,X00016469619,0.15,0.9259,0.5238,0.9384,0.7475,0.0251
GOODS SOLD ARE NOT RETURNABLE,67,913,348,938,281,25,O,X00016469619,0.1675,0.953,0.5188,0.9661,0.7025,0.0261
DEALING IN WHOLESALE AND RETAIL.,62,940,363,958,301,18,O,X00016469619,0.155,0.9812,0.5312,0.9906,0.7525,0.0188
TAN WOON YANN,119,47,367,80,248,33,O,X00016469620,0.2729,0.0523,0.5573,0.0706,0.5688,0.0367
MR D.T.Y. (JOHOR) SDN BHD,93,161,352,183,259,22,O,X00016469620,0.2133,0.1791,0.5103,0.1913,0.594,0.0245
(CO.REG : 933109-X),137,185,320,204,183,19,O,X00016469620,0.3142,0.2058,0.5241,0.2164,0.4197,0.0211
"LOT 1851-A & 1851-B, JALAN KPB 6,",49,201,391,227,342,26,B-ADDRESS,X00016469620,0.1124,0.2236,0.5046,0.238,0.7844,0.0289
"KAWASAN PERINDUSTRIAN BALAKONG,",60,228,382,246,322,18,I-ADDRESS,X00016469620,0.1376,0.2536,0.5069,0.2636,0.7385,0.02
"43300 SERI KEMBANGAN, SELANGOR",70,249,384,267,314,18,I-ADDRESS,X00016469620,0.1606,0.277,0.5206,0.287,0.7202,0.02
(MR DIY TESCO TERBAU),116,268,331,289,215,21,I-ADDRESS,X00016469620,0.2661,0.2981,0.5126,0.3098,0.4931,0.0234
-INVOICE-,176,290,268,308,92,18,O,X00016469620,0.4037,0.3226,0.5092,0.3326,0.211,0.02
CHOPPING BOARD 35.5X25.5CM 803M#,14,328,358,351,344,23,O,X00016469620,0.0321,0.3648,0.4266,0.3776,0.789,0.0256
EZ10HD05 - 24,16,349,158,372,142,23,O,X00016469620,0.0367,0.3882,0.1995,0.401,0.3257,0.0256
8970669,20,371,95,393,75,22,O,X00016469620,0.0459,0.4127,0.1319,0.4249,0.172,0.0245
1,249,373,259,393,10,20,B-ADDRESS,X00016469620,0.5711,0.4149,0.5826,0.426,0.0229,0.0222
X,266,376,282,393,16,17,O,X00016469620,0.6101,0.4182,0.6284,0.4277,0.0367,0.0189
19.00,290,374,343,395,53,21,O,X00016469620,0.6651,0.416,0.7259,0.4277,0.1216,0.0234
19.00,358,375,412,396,54,21,O,X00016469620,0.8211,0.4171,0.883,0.4288,0.1239,0.0234
AIR PRESSURE SPRAYER SX-575-1 1.5L,15,394,371,417,356,23,O,X00016469620,0.0344,0.4383,0.4427,0.4511,0.8165,0.0256
HC03-7 - 15,17,413,136,436,119,23,O,X00016469620,0.039,0.4594,0.1755,0.4722,0.2729,0.0256
9066468,14,436,93,456,79,20,O,X00016469620,0.0321,0.485,0.1227,0.4961,0.1812,0.0222
1,245,438,258,458,13,20,B-ADDRESS,X00016469620,0.5619,0.4872,0.5768,0.4983,0.0298,0.0222
X,265,437,282,460,17,23,O,X00016469620,0.6078,0.4861,0.6273,0.4989,0.039,0.0256
8.02,296,439,343,459,47,20,O,X00016469620,0.6789,0.4883,0.7328,0.4994,0.1078,0.0222
8.02,364,436,413,460,49,24,O,X00016469620,0.8349,0.485,0.8911,0.4983,0.1124,0.0267
WAXCO WINDSHILED CLEANER 120ML,17,457,332,479,315,22,O,X00016469620,0.039,0.5083,0.4002,0.5206,0.7225,0.0245
WA14-3A - 48,15,477,146,497,131,20,O,X00016469620,0.0344,0.5306,0.1846,0.5417,0.3005,0.0222
9557031100236,18,501,159,521,141,20,O,X00016469620,0.0413,0.5573,0.203,0.5684,0.3234,0.0222
1,245,498,259,522,14,24,B-ADDRESS,X00016469620,0.5619,0.5539,0.578,0.5673,0.0321,0.0267
X,267,502,283,518,16,16,O,X00016469620,0.6124,0.5584,0.6307,0.5673,0.0367,0.0178
3.02,294,502,344,523,50,21,O,X00016469620,0.6743,0.5584,0.7317,0.5701,0.1147,0.0234
3.02,368,502,412,523,44,21,O,X00016469620,0.844,0.5584,0.8945,0.5701,0.1009,0.0234
BOPP TAPE 48MM*100M CLEAR,16,521,278,539,262,18,O,X00016469620,0.0367,0.5795,0.3372,0.5895,0.6009,0.02
FZ-04 - 36,21,542,124,559,103,17,O,X00016469620,0.0482,0.6029,0.1663,0.6123,0.2362,0.0189
6935818350846,19,563,155,583,136,20,O,X00016469620,0.0436,0.6263,0.1995,0.6374,0.3119,0.0222
1,245,561,256,583,11,22,B-ADDRESS,X00016469620,0.5619,0.624,0.5745,0.6363,0.0252,0.0245
X,265,562,282,586,17,24,O,X00016469620,0.6078,0.6251,0.6273,0.6385,0.039,0.0267
3.88,296,561,340,589,44,28,O,X00016469620,0.6789,0.624,0.7294,0.6396,0.1009,0.0311
3.88,367,563,424,586,57,23,O,X00016469620,0.8417,0.6263,0.9071,0.639,0.1307,0.0256
ITEM(S) : 4,21,604,132,624,111,20,O,X00016469620,0.0482,0.6719,0.1755,0.683,0.2546,0.0222
QTY(S) : 4,329,607,431,628,102,21,O,X00016469620,0.7546,0.6752,0.8716,0.6869,0.2339,0.0234
TOTAL,17,643,79,665,62,22,O,X00016469620,0.039,0.7152,0.1101,0.7275,0.1422,0.0245
RM 33.92,347,650,432,668,85,18,O,X00016469620,0.7959,0.723,0.8933,0.733,0.195,0.02
ROUNDING ADJUSTMENT,16,667,216,688,200,21,O,X00016469620,0.0367,0.7419,0.2661,0.7536,0.4587,0.0234
-RM 0.02,345,667,436,689,91,22,O,X00016469620,0.7913,0.7419,0.8956,0.7542,0.2087,0.0245
TOTAL ROUNDED,16,688,155,711,139,23,O,X00016469620,0.0367,0.7653,0.1961,0.7781,0.3188,0.0256
RM 33.90,347,688,431,712,84,24,B-TOTAL,X00016469620,0.7959,0.7653,0.8922,0.7786,0.1927,0.0267
CASH,16,710,62,728,46,18,O,X00016469620,0.0367,0.7898,0.0894,0.7998,0.1055,0.02
RM 50.00,343,711,435,729,92,18,O,X00016469620,0.7867,0.7909,0.8922,0.8009,0.211,0.02
CHANGE,15,730,85,754,70,24,O,X00016469620,0.0344,0.812,0.1147,0.8254,0.1606,0.0267
RM 16.10,349,733,432,753,83,20,O,X00016469620,0.8005,0.8154,0.8956,0.8265,0.1904,0.0222
12-01-19 21:13 SH01 ZK09,22,773,269,791,247,18,B-DATE,X00016469620,0.0505,0.8598,0.3337,0.8699,0.5665,0.02
T4 R000027830,297,772,431,794,134,22,O,X00016469620,0.6812,0.8587,0.8349,0.871,0.3073,0.0245
OPERATOR TRAINEE CASHIER,18,794,269,812,251,18,O,X00016469620,0.0413,0.8832,0.3291,0.8932,0.5757,0.02
EXCHANGE ARE ALLOWED WITHIN,82,835,361,855,279,20,O,X00016469620,0.1881,0.9288,0.508,0.9399,0.6399,0.0222
7 DAYS WITH RECEIPT.,122,858,325,876,203,18,O,X00016469620,0.2798,0.9544,0.5126,0.9644,0.4656,0.02
STRICTLY NO CASH REFUND.,101,877,347,899,246,22,O,X00016469620,0.2317,0.9755,0.5138,0.9878,0.5642,0.0245
TAN WOON YANN,96,41,353,79,257,38,O,X00016469622,0.2243,0.0451,0.5245,0.066,0.6005,0.0418
YONGFATT ENTERPRISE,88,107,366,133,278,26,B-COMPANY,X00016469622,0.2056,0.1177,0.5304,0.132,0.6495,0.0286
(JM0517726),171,137,280,155,109,18,O,X00016469622,0.3995,0.1507,0.5269,0.1606,0.2547,0.0198
NO 122.124 JALAN DEDAP 13,104,162,347,179,243,17,O,X00016469622,0.243,0.1782,0.5269,0.1876,0.5678,0.0187
81100 JOHOR BAHRU,136,184,316,198,180,14,B-ADDRESS,X00016469622,0.3178,0.2024,0.528,0.2101,0.4206,0.0154
TEL 07-3523888,157,220,295,238,138,18,O,X00016469622,0.3668,0.242,0.528,0.2519,0.3224,0.0198
GST ID: 000849813504,135,252,320,269,185,17,O,X00016469622,0.3154,0.2772,0.5315,0.2866,0.4322,0.0187
SIMPLIFIED TAX INVOICE,112,277,349,296,237,19,O,X00016469622,0.2617,0.3047,0.5386,0.3152,0.5537,0.0209
CASH,18,316,66,333,48,17,O,X00016469622,0.0421,0.3476,0.0981,0.357,0.1121,0.0187
DOC NO,19,343,78,360,59,17,O,X00016469622,0.0444,0.3773,0.1133,0.3867,0.1379,0.0187
CS00031663,141,337,251,358,110,21,O,X00016469622,0.3294,0.3707,0.4579,0.3823,0.257,0.0231
DATE,276,341,312,359,36,18,O,X00016469622,0.6449,0.3751,0.6869,0.385,0.0841,0.0198
25/12/2018,329,341,415,358,86,17,B-DATE,X00016469622,0.7687,0.3751,0.8692,0.3845,0.2009,0.0187
CASHIER,18,369,79,386,61,17,O,X00016469622,0.0421,0.4059,0.1133,0.4153,0.1425,0.0187
USER,143,368,191,383,48,15,O,X00016469622,0.3341,0.4048,0.3902,0.4131,0.1121,0.0165
TIME,276,365,313,382,37,17,O,X00016469622,0.6449,0.4015,0.6881,0.4109,0.0864,0.0187
12 31 00,334,367,395,383,61,16,O,X00016469622,0.7804,0.4037,0.8516,0.4125,0.1425,0.0176
SALESPERSON,19,393,114,412,95,19,O,X00016469622,0.0444,0.4323,0.1554,0.4428,0.222,0.0209
REF.,275,392,306,410,31,18,O,X00016469622,0.6425,0.4312,0.6787,0.4411,0.0724,0.0198
